ablation,num_features,accuracy,macro_f1,weighted_f1,compilation_precision,compilation_recall,compilation_f1,configuration_precision,configuration_recall,configuration_f1,flaky_test_precision,flaky_test_recall,flaky_test_f1,infrastructure_precision,infrastructure_recall,infrastructure_f1,test_failure_precision,test_failure_recall,test_failure_f1
full,57,0.9024,0.9095297030380557,0.904282297824081,0.747483989021043,0.9221218961625283,0.8256695300656898,0.915282392026578,0.8162962962962963,0.8629600626468285,0.9870466321243523,0.9947780678851175,0.9908972691807543,0.9584775086505191,0.9233333333333333,0.9405772495755518,0.9586247086247086,0.898416166029492,0.9275444037214547
no_primary_label,51,0.7051428571428572,0.7110994949408069,0.7103611240521138,0.6370023419203747,0.6139954853273137,0.6252873563218391,0.4941860465116279,0.7555555555555555,0.5975395430579965,0.7295081967213115,0.9295039164490861,0.817451205510907,0.8180076628352491,0.7116666666666667,0.7611408199643493,0.8438133874239351,0.681594756963408,0.7540785498489426
ontology_only,6,0.8683428571428572,0.8779684110525394,0.8719241138140154,0.6606156274664562,0.9446952595936795,0.777519739897817,0.9319066147859922,0.7096296296296296,0.8057190916736754,0.957286432160804,0.9947780678851175,0.9756722151088348,0.9480069324090121,0.9116666666666666,0.929481733220051,0.9604694255713403,0.8492626979792464,0.9014492753623189
